"","Characteristics","HR","CI","p"
"1","Cluster.0",1.04,"0.91 - 1.19",0.58
"2","Cluster.1",0.97,"0.84 - 1.13",0.729
"3","Cluster.2",1.07,"0.93 - 1.21",0.342
"4","Cluster.3",1.13,"1 - 1.28",0.048
"5","Cluster.4",1.2,"1.07 - 1.35",0.002
"6","Cluster.5",1.03,"0.89 - 1.2",0.693
"7","Cluster.6",0.72,"0.58 - 0.9",0.004
"8","Cluster.7",1.07,"0.92 - 1.24",0.403
"9","Cluster.8",1.05,"0.9 - 1.24",0.513
"10","Cluster.9",1.06,"0.92 - 1.22",0.428
"11","Cluster.10",0.99,"0.86 - 1.15",0.936
"12","Cluster.11",0.9,"0.76 - 1.07",0.24
"13","Cluster.12",1.14,"1.03 - 1.27",0.011
"14","Cluster.13",1.05,"0.91 - 1.21",0.511
"15","Cluster.14",0.89,"0.76 - 1.06",0.193
"16","Cluster.15",1.07,"0.92 - 1.26",0.377
"17","Cluster.16",0.86,"0.72 - 1.03",0.098
"18","Cluster.17",1.14,"1.01 - 1.28",0.028
"19","Cluster.18",1.01,"0.89 - 1.14",0.912
"20","Cluster.19",0.81,"0.65 - 1.01",0.061
"21","Cluster.20",1.04,"0.91 - 1.18",0.578
"22","Cluster.21",1.19,"1.05 - 1.35",0.006
"23","Cluster.22",0.72,"0.57 - 0.92",0.008
"24","Cluster.23",1.02,"0.87 - 1.19",0.847
"25","Cluster.24",0.91,"0.77 - 1.08",0.277
"26","Cluster.25",1.14,"1.03 - 1.26",0.012
"27","Cluster.26",0.74,"0.6 - 0.92",0.006
"28","Cluster.27",1.09,"0.98 - 1.22",0.097
"29","Cluster.28",0.88,"0.73 - 1.06",0.182
"30","Cluster.29",0.82,"0.66 - 1.01",0.065
"31","Cluster.30",1.02,"0.89 - 1.17",0.747
"32","Cluster.31",0.98,"0.83 - 1.15",0.781
"33","Cluster.32",0.97,"0.84 - 1.12",0.684
"34","Cluster.33",0.81,"0.67 - 0.98",0.029
"35","Cluster.34",1.02,"0.9 - 1.15",0.814
"36","Cluster.35",1.17,"1.05 - 1.31",0.004
"37","Cluster.36",1.1,"0.98 - 1.24",0.112
"38","Cluster.37",1.07,"0.93 - 1.23",0.342
"39","Cluster.38",1.11,"0.98 - 1.25",0.087
"40","Cluster.39",0.89,"0.73 - 1.09",0.273
"41","Cluster.40",0.86,"0.74 - 1.01",0.072
"42","Cluster.41",0.96,"0.82 - 1.13",0.636
"43","Cluster.42",0.95,"0.8 - 1.13",0.552
"44","Cluster.43",1,"0.88 - 1.14",0.99
"45","Cluster.44",1.07,"0.94 - 1.21",0.314
"46","Cluster.45",0.87,"0.74 - 1.02",0.093
"47","Cluster.46",0.8,"0.67 - 0.95",0.013
"48","Cluster.47",1.05,"0.91 - 1.21",0.545
"49","Cluster.48",1.12,"0.99 - 1.27",0.08
"50","Cluster.49",1.1,"0.95 - 1.26",0.206
